gvkey,date,asset_value,asset_volatility
15181,2015-04-30,687133337879.9414,0.15736675181629292
15181,2015-05-29,687044753926.9392,0.1574109457676653
15181,2015-06-30,684915657125.3986,0.15764731671156462
15181,2015-07-31,689177746540.3547,0.15758841106966254
15181,2015-08-31,679334411144.7839,0.15792059586821366
15181,2015-09-30,671903945920.698,0.1581279611677742
15181,2015-10-30,675768853645.4646,0.15787574001901647
15181,2015-11-30,676011443536.4839,0.1575106131965993
15181,2015-12-31,703663524558.8315,0.019048215131922834
15181,2016-01-29,680687954385.0305,0.031113875486908006
15181,2016-02-29,680352744007.045,0.032167415743510216
15181,2016-03-31,680259782094.5892,0.03225429105124235
15181,2016-04-29,681863993115.5471,0.032980612597184294
15181,2016-05-31,681705946278.4567,0.03314183909151152
15181,2016-06-30,675461362979.7595,0.034187991459416124
15181,2016-07-29,676595355288.0049,0.03408148017918177
15181,2016-08-31,679063090246.995,0.033701075886376546
15181,2016-09-30,677735294522.2712,0.033483286660987766
15181,2016-10-31,686401379552.3308,0.03354669617709779
15181,2016-11-30,681278398705.1376,0.0337123729632701
15181,2016-12-30,685290594259.2903,0.03360929567240669
15181,2017-01-31,643688521705.6449,0.061075097200371194
15181,2017-02-28,643130113649.2,0.05994641433277504
15181,2017-03-31,651353957158.1714,0.0599800412807323
15181,2017-04-28,652815166605.2766,0.0595936761054829
15181,2017-05-31,652113633971.3888,0.05946350242867719
15181,2017-06-30,652378911246.6971,0.058142787137303246
15181,2017-07-31,655220822371.8733,0.05794271147622081
15181,2017-08-31,653561849788.4043,0.05785588168096685
15181,2017-09-29,654582708134.7881,0.05782195128569841
15181,2017-10-31,654227861589.1046,0.05786596494387423
15181,2017-11-30,651830974471.8528,0.057613782830822864
15181,2017-12-29,651338444224.1101,0.05742563476328213
15181,2018-01-31,643853416737.113,0.024001411681579096
15181,2018-02-28,639329890697.2916,0.02396698058630737
15181,2018-03-30,636252502529.2195,0.023815749579195633
15181,2018-04-30,638263689149.5912,0.023181529353442108
15181,2018-05-31,632312479400.5817,0.02316917709861453
15181,2018-06-29,633882958187.6267,0.023262059903933804
15181,2018-07-31,635299468689.6876,0.023295693375082586
15181,2018-08-31,629170047372.9586,0.023414209434184863
15181,2018-09-28,629975285084.0441,0.023347229752086057
15181,2018-10-31,625918555019.7145,0.022865903730164682
15181,2018-11-30,626807999608.1953,0.02322248239927584
15181,2018-12-31,624300799699.0872,0.014070284953928494
15181,2019-01-31,646410295581.5376,0.03284981899558023
15181,2019-02-28,648531606108.2377,0.032809033582801905
15181,2019-03-29,645871359536.584,0.03283062798952457
15181,2019-04-30,648137805058.05,0.03289124986744592
15181,2019-05-31,644290857667.9247,0.03270212872320484
15181,2019-06-28,644647504001.2648,0.03261748981599915
15181,2019-07-31,642402876596.9509,0.032476339269535776
15181,2019-08-30,640323990189.4333,0.032331395767139816
15181,2019-09-30,643696381152.7935,0.03242512477953632
15181,2019-10-31,643294603338.1395,0.03234638862577431
15181,2019-11-29,643731423251.7885,0.03208133699192155
15181,2019-12-31,645593329305.1499,0.012023648709995335
15181,2020-01-31,677096302139.2484,0.060574976852698706
15181,2020-02-28,673958288953.422,0.060770458160006896
15181,2020-03-31,658382635629.1189,0.06280894524207974
15181,2020-04-30,246596778910.8067,0.16060032578230715
15181,2020-05-29,120934014232.68936,0.2371270005023338
15181,2020-06-30,168951899475.96088,0.2176811465931614
15181,2020-07-31,125600322436.28549,0.25082480284157505
15181,2020-08-31,100530400409.60686,0.27597401662875654
15181,2020-09-30,80513176992.76312,0.3031208565676443
15181,2020-10-30,80712812014.9895,0.30771871955910907
15181,2020-11-30,46432759739.765114,0.4693049260091498
15181,2020-12-31,82883056615.6545,0.38170295748440747
15181,2021-01-29,583520550300.6042,0.10926699195221548
15181,2021-02-26,593572021837.0813,0.10951429456844468
15181,2021-03-31,592364172920.4086,0.10738051076470817
15181,2021-04-30,595486419915.3479,0.10661067405221869
15181,2021-05-31,600741193561.4031,0.10622349925555728
15181,2021-06-30,601934937109.2834,0.10563622684868085
15181,2021-07-30,603890020927.7623,0.10552291082120954
15181,2021-08-31,605327222368.3037,0.10541824005133646
15181,2021-09-30,607050165475.9131,0.10542790390483003
15181,2021-10-29,610371433478.1166,0.1057548242004034
15181,2021-11-30,596638192036.6913,0.10460262552942155
15181,2021-12-31,619178229810.0736,0.018126517862579884
15181,2022-01-31,660290071801.0049,0.07316676548108962
15181,2022-02-28,657166188804.5096,0.07323965904537297
15181,2022-03-31,656276060425.9867,0.07374314274161933
15181,2022-04-29,654793218627.7969,0.07398387120194788
15181,2022-05-31,654929483828.0033,0.07414349908983152
15181,2022-06-30,645571728476.5718,0.07463787714702647
15181,2022-07-29,646428392965.5358,0.07463867651725141
15181,2022-08-31,647203736258.8632,0.0745234223356477
